,x,,,,,
103,1,,,,,
206,0.812878542,,,Total:,286,
132,0.697849303,,,Top 20%:,57.2,2 to 58
87,0.627905223,,,Bottom 80%,228.8,59 to 287
92,0.617651552,,,,,
207,0.57196364,,,,,
171,0.559815619,,,,,
125,0.539587929,,,,,
12,0.517956906,,,,,
241,0.48249856,,,,,
140,0.462497983,,,,,
75,0.432709478,,,,,
210,0.419871088,,,,,
5,0.394001801,,,,,
109,0.371135249,,,,,
115,0.371135249,,,,,
152,0.371135249,,,,,
168,0.371135249,,,,,
204,0.371135249,,,,,
55,0.353427143,,,,,
26,0.326714054,,,,,
45,0.326714054,,,,,
220,0.326714054,,,,,
150,0.298995896,,,,,
35,0.292290043,,,,,
188,0.182825709,,,,,
120,0.169686018,,,,,
221,0.150280801,,,,,
144,0.146422799,,,,,
38,0.145067323,,,,,
157,0.12125148,,,,,
70,0.112540436,,,,,
119,0.108030024,,,,,
176,0.10619137,,,,,
236,0.098236273,,,,,
126,0.091622395,,,,,
127,0.091622395,,,,,
215,0.091622395,,,,,
41,0.088559289,,,,,
39,0.084848569,,,,,
100,0.084848569,,,,,
195,0.08003432,,,,,
4,0.079683523,,,,,
112,0.071232459,,,,,
28,0.070597277,,,,,
52,0.070597277,,,,,
86,0.070597277,,,,,
106,0.070597277,,,,,
151,0.070597277,,,,,
166,0.070597277,,,,,
189,0.070597277,,,,,
198,0.070550404,,,,,
135,0.07027167,,,,,
153,0.07027167,,,,,
235,0.07027167,,,,,
145,0.068092145,,,,,
167,0.064375004,,,,,
139,0.06161245,,,,,
194,0.06161245,,,,,
225,0.059851265,,,,,
9,0.059851265,,,,,
99,0.059851265,,,,,
185,0.058031278,,,,,
113,0.057472736,,,,,
201,0.056739433,,,,,
98,0.0554987,,,,,
11,0.055428633,,,,,
191,0.055428633,,,,,
199,0.053371807,,,,,
107,0.050083439,,,,,
121,0.050083439,,,,,
80,0.049348207,,,,,
93,0.044609233,,,,,
110,0.044609233,,,,,
160,0.044609233,,,,,
181,0.044609233,,,,,
202,0.044609233,,,,,
209,0.044609233,,,,,
239,0.044609233,,,,,
66,0.034618719,,,,,
50,0.032500506,,,,,
62,0.032500506,,,,,
122,0.032500506,,,,,
174,0.031912594,,,,,
128,0.031679788,,,,,
205,0.031679788,,,,,
24,0.030366594,,,,,
214,0.030366594,,,,,
57,0.028495634,,,,,
40,0.026713089,,,,,
155,0.026713089,,,,,
212,0.026713089,,,,,
165,0.026713089,,,,,
20,0.026026483,,,,,
48,0.026026483,,,,,
88,0.026026483,,,,,
111,0.026026483,,,,,
143,0.026026483,,,,,
147,0.026026483,,,,,
36,0.024446772,,,,,
68,0.024446772,,,,,
203,0.024446772,,,,,
230,0.024446772,,,,,
232,0.024446772,,,,,
46,0.021989759,,,,,
200,0.020634917,,,,,
190,0.01842187,,,,,
211,0.018008706,,,,,
96,0.016821869,,,,,
227,0.012434,,,,,
19,0.011838808,,,,,
13,0.011106611,,,,,
124,0.011106611,,,,,
154,0.011106611,,,,,
217,0.011106611,,,,,
79,0.010152717,,,,,
218,0.009563487,,,,,
34,0.0095248,,,,,
179,0.0095248,,,,,
7,0.00911018,,,,,
161,0.009109849,,,,,
146,0.008875766,,,,,
25,0.008548569,,,,,
64,0.008548569,,,,,
237,0.008548569,,,,,
21,0.008026264,,,,,
95,0.008026264,,,,,
142,0.008026264,,,,,
197,0.008026264,,,,,
172,0.007093012,,,,,
42,0.006960447,,,,,
184,0.006933892,,,,,
229,0.006613878,,,,,
187,0.00654271,,,,,
61,0.005384486,,,,,
208,0.005361274,,,,,
108,0.005005624,,,,,
15,0.004738973,,,,,
213,0.004697478,,,,,
123,0.004697215,,,,,
138,0.004523739,,,,,
131,0.004523739,,,,,
51,0.004523739,,,,,
31,0.004118631,,,,,
180,0.004118631,,,,,
223,0.002272988,,,,,
163,0.00132739,,,,,
33,0.00077731,,,,,
182,0.000640188,,,,,
117,0.000640188,,,,,
148,0.000640188,,,,,
27,0.00056128,,,,,
170,0.000353533,,,,,
23,0.000308409,,,,,
37,0.000289423,,,,,
234,0.000289423,,,,,
118,1.37E-17,,,,,
10,2.00E-18,,,,,
1,0,,,,,
2,0,,,,,
3,0,,,,,
6,0,,,,,
8,0,,,,,
14,0,,,,,
16,0,,,,,
17,0,,,,,
18,0,,,,,
22,0,,,,,
29,0,,,,,
30,0,,,,,
32,0,,,,,
43,0,,,,,
44,0,,,,,
47,0,,,,,
49,0,,,,,
53,0,,,,,
54,0,,,,,
56,0,,,,,
58,0,,,,,
59,0,,,,,
60,0,,,,,
63,0,,,,,
65,0,,,,,
67,0,,,,,
69,0,,,,,
71,0,,,,,
72,0,,,,,
73,0,,,,,
74,0,,,,,
76,0,,,,,
77,0,,,,,
78,0,,,,,
81,0,,,,,
82,0,,,,,
83,0,,,,,
84,0,,,,,
85,0,,,,,
89,0,,,,,
90,0,,,,,
91,0,,,,,
94,0,,,,,
97,0,,,,,
101,0,,,,,
102,0,,,,,
104,0,,,,,
105,0,,,,,
114,0,,,,,
116,0,,,,,
129,0,,,,,
130,0,,,,,
133,0,,,,,
134,0,,,,,
136,0,,,,,
137,0,,,,,
141,0,,,,,
149,0,,,,,
156,0,,,,,
158,0,,,,,
159,0,,,,,
162,0,,,,,
164,0,,,,,
169,0,,,,,
173,0,,,,,
175,0,,,,,
177,0,,,,,
178,0,,,,,
183,0,,,,,
186,0,,,,,
192,0,,,,,
193,0,,,,,
196,0,,,,,
216,0,,,,,
219,0,,,,,
222,0,,,,,
224,0,,,,,
226,0,,,,,
228,0,,,,,
231,0,,,,,
233,0,,,,,
238,0,,,,,
240,0,,,,,
242,0,,,,,
243,0,,,,,
244,0,,,,,
245,0,,,,,
246,0,,,,,
247,0,,,,,
248,0,,,,,
249,0,,,,,
250,0,,,,,
251,0,,,,,
252,0,,,,,
253,0,,,,,
254,0,,,,,
255,0,,,,,
256,0,,,,,
257,0,,,,,
258,0,,,,,
259,0,,,,,
260,0,,,,,
261,0,,,,,
262,0,,,,,
263,0,,,,,
264,0,,,,,
265,0,,,,,
266,0,,,,,
267,0,,,,,
268,0,,,,,
269,0,,,,,
270,0,,,,,
271,0,,,,,
272,0,,,,,
273,0,,,,,
274,0,,,,,
275,0,,,,,
276,0,,,,,
277,0,,,,,
278,0,,,,,
279,0,,,,,
280,0,,,,,
281,0,,,,,
282,0,,,,,
283,0,,,,,
284,0,,,,,
285,0,,,,,
286,0,,,,,