from,to,weight,title
61,124,1,"You don't chose to be a hero, you got selected as hero"
61,72,3,"These rumours are getting worse than football transfer rumoursNo war have been fought till today? Ending terrorism would need a full scale invasion like America did to Afghanistan , India ,now and not in future would be able to mount that type of invasion Yeah it should ,and as before diplomacy would be the way , terrorism exist for the reason , and reason is people have invested in it to exist I think it just a business model to keep India and Pakistan on brink of war."
61,131,1,35 sounds believable
62,10,1,"Check sources for other news channels and Ndtv channel. While other channels are relying on information from twitter handles. Ndtv is discussing things through the information provided by Indian defence during press conference.Also please go through IAF press conference on 2nd day with reports published on news channels. You will find out that there is over exaggeration on all the news channels other than NDTV. "
62,85,1,"India is changing narrative from victory to intention. First day govt leaked it to media that around 300 people killed. Next day Indian pilot caught by Pakistan and Indian defence had to do a press briefing in this they claimed its immature to assume casualties. Now international official sources have confirmed that India had intelligence to the target but we did not hit the target. If we have to put fear in Pakistan we have to show our capability by hitting them right on target not by showing our  intent or chest thumping with unverified numbers. "
63,110,1,"I think the same, but international media have no reason to think so.They need to provide evidence to convince other people. "
64,102,1,"The Indian government is refusing to provide evidence, therefore the Pakistanis are liars.Wah. Just brilliant."
65,14,1,And the fact that he thought of swallowing those documents. Showed real composure throughout. He did not seem to crack under pressure and did his job right. 
65,122,1,It's really hard to give ABP news credibility after that shit storm they've pulled. 
65,119,1,All we're saying is that releasing that edited video serves nothing good for either country. And Pakistan would've been in big trouble if they killed the WC.
66,35,1,Has there ever been an opposition so weak?
66,56,1,"But don't all countries except china already accept JeM as a terrorist organisation? and after them taking responsibility for pulwama attack i don't understand why this isn't a bigger issue. They talk like we're just speculating this shit with no proof. It doesn't matter if pakistan doesn't want to acknowledge them as a terrorist group, but if they accept they house them there should be more pressure to hand over him to us. Shit like this is the reason i stand behind government's decision of being more bold against them (still don't want any war tho)"
66,71,1,How do news channels not run clips like this 24*7 is something i'll never understand
66,111,1,Our army has never given a reason to not trust them on the other hand yours...
67,19,1,"Are bhai, their foreign minister has the balls to go on BBC and claim that JeM involvement not confirmed in pulwama Attack. Highly recommend you watch that interview! He pretty much gives the whole game away!Dont ever expect honesty or truth from this part of the world, they have a deeply ingrained insecurity that allows them to perversely rationalize every aspect of their nations behaviour."
67,100,1,"World is not = to global media. Are you high?Paks 2 biggest allies stood by and watched India be the aggressor for the first time ever and did nothing.. UN Security Council March petition to designate Azhar as global terrorist is still going to happen. If you want to cherrypick articles from known ultra liberal publications (no offence to them, am a liberal myself), thats your choice. But the facts are evident from the actions (or lack thereof) that global powers have undertaken in response to this conflict. "
67,111,1,"Hey Lahori guy, welcome! People who live in glass houses should not throw Osama Bin Ladens. Oops!! I meant stones! "
67,113,1,"Equally damning? I certainly dont think so.One side tried and arguably failed to eliminate a dangerous threat, the other has spilled the beans (directly and indirectly) that they harbour and maybe even support these groups.. I know which one Id take.."
68,54,1,If there's any such known public service people would have already jumped on it and shared images on twitter. 
69,91,1,"&gt;  ISI story of Col Salim)What is that?"
70,88,1,"Idk how well it summaries. The anchor tries to pin the 300 number on the government which is not true and talks like the civilians are entitled a briefing on a military operation. There is a very obvious  bias in the narrative being pushed."
71,117,1,"Bruh, I know this is a theory but damn, this makes perfect sense. You good. Let's see if we get more info.&gt;Pakistan denied using F-16s in the operation, said it was JF-17s.I don't think they said it was JF17s, iirc they only said F-16s weren't used. "
72,35,1,Lol yesterday he tweeted that Pakistan has killed scores of Indian officer by sniping them. He is a rumor mongerer. 
72,49,1,The evidence can be used by jihadis for recruitment purposes. When has our military ever lied to us? Pak mil is a deep state within itself and has a history of hiding facts from pak public. Don't fall for pak propaganda. 
72,50,1,And in 2030 the pak mil will finally acknowledge their soldier who died fighting for his country and give him some sort of award... You know cuz pak mil has a standard 10 years period before they acknowledge their soldiers sacrifice like in the kargil and 1971 wars. 
72,61,2,"The cost of supporting terrorism has to be increased for pak.... Pak is the epicenter of terrorism.... If it becomes hard to Pakistan to train terrorists.... It will have an effect world wideCommon man 40 years of diplomacy achieved nothing... Time to adopt new method"
72,76,2,"They are blackmailing you.... Our countrymen will die horrible deaths at the hands of these terrorists for the next 40 years more if we don't act nowThey have to be countered on all front. Limited military action was absolutely nessesary and it has to become the norm now so that Pakistan knows the blackmail it is doing by putting a gun to its own head... One day or another it may have to actually pull the trigger.Edit : BTW wow what ideal view of geopolitics you haveRe edit.: I did not mean that as attack on you... I am just saying your view is quite idealistic"
72,91,2,"It doesn't matter.... Has our military ever conducted itself in a non professional manner in the 70 years of history.... Their reputation is such that we can take their statements as truth. National security cannot be compromised like that plus the enemy will also learn of confidential spy satellite capabilities..."
72,98,2,"And he has already said that the pak authorities Mentally harassed him when he was in their costody This should be pinned for better visibility "
72,100,1,Lol just because a few publications came out with articles that did not bash Pakistan doesn't mean Pakistan has come out looking like a good guy.... The whole world condemned the pulwama attack.... USA France UK all came out with statement that they supported India's right to defend itself..... Not a single country said anything against India after the airstrike...not even China....infact France EU and USA asked Pakistan to do more to combat terrorism after the airstrike to de escalate tension. Pakistan is utterly isolated...even IOc ignored Pakistan after the airstrike... Sushma swaraj was the chief guest while Pakistan FM was sulking at home. It released our pilot within 48 hours and it did not do it out of self will... Otherwise quereshi wouldn't be in front camera trying to justify to pak public why they released the pilot without any deal from India. Erdogen may have some reason to stick with Pakistan. 
73,122,1,"I mean let's be real, he wasn't there for a peace mission."
74,98,1,Make a separate post of this for better visibility.
75,82,1,I dont know urdu man. 
76,72,2,"You do realize youre advocating for a solution that would likely kill a billion, if not two billion, right? Pakistan should be fighting against the terrorists it allows and encourages to operate against India. But there is no solution, except diplomacy, that wouldnt kill millions. A better solution would be to isolate Pakistan. Encourage the rest of the world to recognize Pakistan as a sponsor of terrorism. Boycott and cut them off. Make them a pariah state that they should have been after 9/11. Sure, theyll lash out with more attacks. But eventually (hopefully) their citizens will push for their government to do something about the camps on their soil. But military action against Pakistan will lead to untold suffering in both countries. War wont make it better, just much worse and faster. "
77,54,1,"Yes, let me call my friend at CIA."
78,124,1,"The fact that he probably downed an f16 with an mig,The fact that he managed to survive as long as he did after parachuting into enemy territory,The fact that he refused to divulge any classified information without knowing he was being recorded(as he was blindfolded) knowing full well that he was going to be tortured or probably killed for it,The fact that after being through so much in so less time he didn't loose his composure and the cuts in the propaganda video might mean that he didn't exactly say everything that the enemy would've wanted him to say."
79,4,1,"Who is ""thrashing"" Pakistan ?"
79,17,1,hahaha this made my day
80,27,1,"Standard procedure for any law enforcement agency anywhere in the world is to close down the scene of crime to prevent contamination and a multitude of other things.You're clutching at straws here. "
81,21,1,"I agree - people are like I want to know, I have a right to know and these same people dont know shit about basic stuff in life but they are suddenly experts in military strategies:)I wish the media was not being an asshole all the time, and just did its job to tell people the news and not a Bollywood movie plot"
81,122,1,"he downed one of their F16s, it would be unreal to think that there was no hostility towards him. The India side too had caught one of theirs would not have just kept him all cushioned up. Am just glad hes back home - lets just not get into the rats ass to find out was he tortured or not, please. Lets just respect his valor and the imagine the happiness in his family that hes back - everything is bullshit for us people to talk about!Every armed forces personnel knows that when you get battle ready, there is a price to pay. We citizens should just be so grateful that we continue to live our lives as chickens because these brave hearts live their lives like that."
82,75,1,"If you listen to the clip, he says the camp was targeted. He does not say they were hit."
83,132,1,"I'm Pakistani. It's still partially closed. Some airports are open for domestic flights, but no international flights have yet been allowed. It's being said that normal flight operations will resume from 4th March. It should. I have a lot of relatives that are stuck ._. "
83,86,1,"No international flights at all. It's kinda worrisome tho, at least for me. I don't think we're on high alert anymore except LoC. So why close the entire country's airspace? What about India? Is the airspace completely open?"
83,116,1,"Man I really don't know why it's closed lelI'm a normal guy who's afraid of dying. Fuel shortage? O.o who's saying that? There isn't no fuel shortage, not any that I'm aware of. You got any links to where people are saying that?"
84,19,1,Plus helped the Jadhav case become stronger. In that case video evidence was actually asked for. 
85,64,1,That doesn't rule out that they are not.
86,83,2,"Makes no sense why not allow international flights, unless foreign carriers doesnt want to fly in yet. What about PIA international flights?I am not sure ( lives in US) but last i checked it was even open during those tense days ( except for three hours). "
87,56,1,"The denial is extreme. In last two days, slowly but steadily Pakistan's JeM relations are coming out from mouths of their own people and ministers. Wait for a few days, everything will fall apart from your own side.Now since Pakistan has openly confessed their contact with JeM, why don't you tell them to telecast a pre-recorded video of terrorist that India declared dead and taken his name specifically in press conference?No country will share details of their military operations and that includes US who has scarcely given details about their counter terrorist ops in past and present.If Pakistan so staunchly believes that no terrorists are being raised on it's soil, why are you hell bent on asking for a proof?When people are at fault and hide their crimes, they seek for approval from outside."
88,48,1,"I really  like these rajyasabha and losabha channel very calm and informative discussion, big fan of them for sometime now, "
89,21,1,"Yup why need proof we are people of faith. We believe whatever crap politicians are feeding us. It helps us bolster our ego.Why use critical thinking , why look for different sources to corroborate one sides claim.For us blind faith is everything.Tomorrow if Modi comes and tell us that he invaded Pakistan and China  and ask us to just believe him, we will ofcourse do that.Independent international media my foot."
89,124,1,because he nearly sacrificed his life for his country.
90,127,1,"""Jo bhi humare masle hai, hum dehshatgardi karwake ke hal karenge"" Its hilarious lol."
91,49,1,Correct and took a dig on the people who got in it's (sale) way
91,51,1,"Do you really feel that if the pakis had downed a sukhoi, they would've had been quite about this?"
91,54,1,"I did a little side investigation and found the latest images on mainstream websites to be atleast 6 mithd old (lol) but google it. Some organisation already did it and they seem to have found results whoch are available in their article. This however, also is the article that the pakis seem to be parading and obviously its a private organisation so there's next to no credibility. Oh and the coordinates are available on wikipedia. If you find a way, do check for yourself too"
91,69,1,I am getting a feeling that this whole dialysis thing is a sham and he got injured in the strikes (referring to the ISI story of Col Salim)
91,72,3,"Yeah but its an endless loophole then. The world then believes that we did nothing and it all comes back to square one (whether we should release evidence or not)&gt;Has our military ever conducted itself in a non professional manner in the 70 years of historyI never disputed that. I believe that it isn't even in my ability to do so considering how much they've done for us. But, international outlook also matters and I'm not blaming anyone here. Im just putting things as they are, like here is a problem. Solve it.Exactly what I've been trying to convince the subreddit for the past 2 days. I'd face a really bloody war head on, rather than suffering this faux ""peace"" for another 70 years."
92,54,1,Yes let me call my friend at CID
93,66,1,https://www.unionjournalism.com/2019/03/01/pakistan-pilot-killed-by-local-pakistani-thinking-he-was-an-indian-pilot/
93,111,1,Chobey ji uth jao subah ho chuki Hain!
93,120,1,"&gt;Pakistani being killed in jailAre you referring to the Lynched pilot?"
94,72,1,"Anecdotal and not empirical. Indian covert operations are rarely declassified and are more than what meets the eye. Just look at the historical unification of India or the support to LTTE as an example . &amp;#x200B;Do note, I am not saying that the strikes didn't happen or that a building wasn't destroyed. However, I question the loss of life. The strikes in itself is a major step and should be ""questionably applauded"". But loss of life at 3:30AM?  Remember when the 2016 surgical strikes were carried out, villagers could be quoted saying the area was blocked and many trucks could be seen entering. This time its different - even the villagers are laughing."
94,98,1,"&gt;Just heard that the body of a Pakistani prisoner has been handed over to Pakistan. Why is there no one talking about it here? Yesterday, a mere delay was linked with ill will of Pakistan towards the release of Abhi.Fake news. IAF has not reported anything on its press release or twitter handle. Do not change speculation into news.  Source: [http://timesofindia.indiatimes.com/articleshow/68225068.cms?utm\_source=contentofinterest&amp;utm\_medium=text&amp;utm\_campaign=cppst](http://timesofindia.indiatimes.com/articleshow/68225068.cms?utm_source=contentofinterest&amp;utm_medium=text&amp;utm_campaign=cppst)  Quote:  The IAF said it will talk to Abhinandan about the video and clarify.  "
95,97,2,"He is not wrong. Various Governments knew for over 20 years now that Mig21Bs need to phased out. We still have 113 of them active mate. Embarrassing.&gt; Pick one: The Mig took down a F16 or the Mig is a flying coffinBoth are not mutually exclusive. The Mig21 bison is heavily upgraded with the following - - Russian X-band pulse Doppler radar with slotted array- Russian IRST- European INS and GPS- European MFD- Israeli HUD- New indigenous RWR- Stores management system- Air data computer- Helmet mounted sight- New comms/radios- New canopy (for better pilot visibility)- Ability to fire the R-77 BVRAAM and R-73 WVRAAMIn short, its instantaneous turn rate and acceleration, and the helmet mounted sight combined with R-73 air-to-air missiles make it very effective at close range encounters and interceptions, even against 4.5 gen aircraft. It also has a tremendous advantage because of its low radar visibility. However there is no getting around the fact that its design is obsolete now and it is limited by the capacity of its airframe and needs to be phased out.&gt; Is it a 100% given that a Rafale couldn't have been shot down?Nothing is ever certain in dogfighting but rafale is clearly a vastly superior multirole aircraft. &gt; What result is he talking about?Am assuming he is talking about the loss of our Mig-21 and capture of our pilot. And yes, a more modern aircraft will most likely have improved our chances of success, maybe avoiding the capture of our pilot."
96,50,1,Wow... Nice plot. Will definitely watch that.
97,95,1,Pick one: The Mig took down a F16 or the Mig is a flying coffin. What result is he talking about? Is it a 100% given that a Rafale couldn't have been shot down?
97,105,1,Hindi news channels: Hamare sapoot ka lie detector test kiya gaya... /s
97,120,1,a rival hindi channel: aisa lagta hai unhe current laga ke torture kiya gaya hai... /s
98,119,3,"It wasn't the delay. It was the heavily edited video that came out moments before his release. Don't know why Pakistan felt it needed to do it. Lost a lot of goodwill as a result. &gt; Why does the video matter so much when the guy can contradict with that as soon as he is going to cross over?  Look, I was the first to mention that there were a lot of Pakistanis asking that Abhinandan be treated well. I was genuinely moved by it. But, moments before his release, there's this  video - where it looks like he's been coerced - so you start to feel that you can't really trust Pakistan. On one hand there's talk of peace gesture and on the other there's manipulation.I understand your point. Plus, I don't think its worth going to war over. My feeling about it is to the extent that I can't trust everything Pakistan says. I will continue to advocate for a peaceful resolution.  We are thankful that he's back home. There's a lot of one-upping going on here and having a reasonable debate will be hard. Again, I am thankful Pakistan released him, but the video did do a damage to the trust of even the faithfully liberal person.&amp;#x200B;"
99,56,2,"Very disheartening to hear that you people require proof for a very well documented terrorist head to take action against him.Several security council members accept the proof but it is not enough for Pak? Does Pak have higher standards to declare someone a terrorist? Or does India have so much influence that majority will blindly agree with her? You say JeM is banned? Why is it banned? Is it banned because it is a terrorist organisation? If so dont you think its members need to be arrested?"
99,79,1,"Hey buddy, since you constantly post here, what is your opinion on your FM accepting that your country allows JeM to operate AKA harbours terrorists?"
99,119,2,"As for the hypocrisy, yes it was very hypocritical. It was a propoganda video similar to what NK makes.Killed in prison by criminals who are rotting in prison. Now what do you think should we do? Those people are already on a life term, and in history of India very few people have been executed. People here already condemned it, but we didnt know his mortal remains were being returned today since there was no big announcement."
100,4,1,world is not trashing pakistan. As far as global media is concerned pakistan came out as the good guys just their video released after abhinandan was in india portrayed them in bad light . Thats why they took down the video from all their media handles. no1 has openly taken sides as things havent escalated to that degree
100,119,2,"it aint an excuse to hate. It was all great when it was peace gesture to release him. Releasing a doctored and forced video with 50 cuts is what pissed off people here. There was 0 need for it and moreover added no info that was already known. Worst thing u took interview of our commander in uniform but later was returned in a suit ? Do u know see your fault or still wanna talk here with ur nonsensical facts ?there is no coverage of that news anywhere on indian media. Full disclosure we all hate our media thats why rely on twitter. If its true my heart goes out to u. "
101,50,1,Must be a Techies spammer
102,18,2,"So we should have lied about it when Pakistan had first brought it up?Lol can you imagine the shit show. The Pakistani guy sayng that we invaded their air space and bombed them. Then the Indians denying it outright. Pakistanis coming up with proof. Us denying the proof of the shells or radar too. Are you alright with that scenario?"
102,63,1,Why should we make fat Joe in America believe in this? If the American state wants to know they'll contact the Indian state and not read new York times. 
102,64,1,The Pakistanis lied about two planes being shot down. They lied about having two Indian pilots in custody. They lied about only payload bring dropped and no bombs being dropped in the initial tweets. They lied about not using F16 in the raid. They lied in 2016 about those surgical strikes. If you're a congenital liar then don't expect anyone to give you the benefit of the doubt 
102,79,1,"No man they didn't ask for evidence. They said no evidence is provided. It's a very substantial difference. Jaitley explained it too, it negatively affects the operational secrecy of India therefore evidence won't be provided. Maybe it can be provided later like the 2016 strikes which again were doubted by Pakistanis but then they were proven to be liars, again."
103,98,1,Didn't know one could hold sermons while being so ill that you couldn't even get out of a hospital bed .
104,91,1,"International media's outlook does not matter. The outlook of international governments does. And they have come out in support of India's actions. And if the Indian army claims to have hit whatever they've targeted, I believe that. Not some casualty report of 300 cooked up by the media. "
105,58,1,All those things on Wg cmdr Abhinandan's chest are chest leads used to take an ECG. Probably as a part of routine medical checkup.
105,91,1,Renal failure or air strikes?
105,92,1,"CID team at Wagah borderACP Pradhyuman : Daya, darwaza tod do!"
105,97,1,"No need to write the /s , they'll actually do that."
105,110,1,"CID officer Vivek on the job. Abhijeet ko Balakot site pe bhej dia hai. Pata toh chale maamla hai kya. /s"
106,4,1,Ottoman Empire 
106,35,1,lol ===
106,127,1,"Figure of 300 hundred was made out of thin air by media  ,but 35 still seems like realistic number.Another claim was 1000 kg bomb was dropped...Man ,How shit media is -_+"
106,97,1,===
106,99,1,  Kandahar hijack happened to free Azhar Masood...not sure what else proof is required ..Country which defines terrorists as good terrorists and bad terrorists. ...You can expect sanity from them.
107,70,1,I saw it at 1.5 speed and he's still slow. 
108,21,1,"But we are so used to such video footage since the gulf war in the 90s.  Pakis using this opportunity. Im not for war, but whenever there is intel report on training camp in pok  we should attack preemptively and govt shouldnt chest thump it. "
109,43,2,"[https://twitter.com/Natsecjeff/status/1101992269060734976](https://twitter.com/Natsecjeff/status/1101992269060734976)Even, as per this report [https://www.dni.gov/files/ODNI/documents/2019-ATA-SFR---SSCI.pdf](https://www.dni.gov/files/ODNI/documents/2019-ATA-SFR---SSCI.pdf), the firing / tension in LoC to continue until May elections. If some substantial thing happens about killing terrorists, etc, media will project it as a success for Modi.Yes, both countries won't go for war."
110,63,1,"Air Force won't lie ..if it's caught it goes under severe scrutiny. People lose jobs .. if it's unsuccessful they would just say that.  There are things that surely we should be critical about and ask proof for but not this. I support Air Force and I believe what they announced. I don't care if you guys think I am bakth or whatever ..I completely trust my Army and I rely on them ..hell I am sleeping well tonight based on same trust. I wouldn't doubt it a second."
110,105,1,Mate can you get any sat imagery of Balakot?
111,14,1,"Pakistani here. He did not shoot down any of our jets. These are just claims by your media without any proof. The only proof that was bought up was a picture of a destroyed jet engine, that too was debunked by a specialist on India today. Regardless, he is still a hero as he fought for his country and you guys should be proud of him."
111,42,2,"Uhhh what ? Our army never claimed or did any surgical strikes in 2016. That was your army (that claimed to do so that too without any proof much like this time) in retaliation to an attack that they blamed on Pakistan (similarly without any proof, what you said about the leopard is true after all).I don't bring up local and biased news sources because they do just that. Make BS up to glorify their nation. And you did exactly that. Regardless it's very much possible that this strike did happen and our forces are lying, I'm ready to entertain this possibility even with the proof being shady at best. Hoping your public would do so too."
111,45,1,"Which one ? They lied about the air strike 300 dead bodies were 3 trees at best. Every single international and neutral report indicates that no damage was done to the madrassah in the area. Hell, they didn't even make it to Balakot.It's funny because I'm living in the country where the army has major influence on media and how our history is written, but even then we are skeptical of their claims and whenever they try to feed us some bs. Your public doesn't even seem to be questioning this whole fiasco."
112,106,1,Slight digression but I think it would've been terrible to go to war without 42 IAF squadrons ready. 
113,98,1,He admitted to being targeted but not that they were hit. This is damning for both countries. It pretty much alludes that India tried but failed to attack their camps and it alludes that Pakistan lies about JeMs presence in the area.
114,129,1,Did he sleep?
114,117,1,Ok
115,25,1,But they didn't target our buildings. That's what they announced to the media. Unlike ours. 
116,42,1,"&gt; But honestly in these reports it's basically the fact that she'll lose all credibility and her livelihood if found to be true that basically are the proof for it.**?????**"
116,51,2,"Could be. But reports are coming they will fully open their Air space by tomorrow.yeah and Air space is open now. LOL"
116,75,1,"I know Urdu and he said, his camps were recruits trained for Jehad was Bombed."
116,83,2,"&gt;  It's still partially closed.But why have they closed it? According to official narrative of DGISPR, India's Air raid on 26th Feb was dud and harmed nothing but some trees and Pakistan's raid of 27th Feb was much more successful thus implying Pakistan is far more superior air power. So why this knee jerk reaction contradicting triumphant official claims?And second thing I wanted to ask is about Fuel shortage in Pakistan as some claims going on SM. Is it true? If so, then why?OK. Don't worry, things are settling and normalcy should return in Pak soon. Man, I'm also normal guy, who's afraid of dying but these routine terror attacks have exhausted our patience and somber nature. We all here are afraid to die but if terrorism continued this way, then we will surely die sooner than later. That's the reason why were we Indian's rattling sabers in past few days but no hard feelings for Pakistani people in general.  "
116,91,1,"&gt;  ISI storyWhich story?"
117,71,1,Credits go to u/DegnerOshold
118,35,1,Because god made them that way
118,120,1,"Yeah , imagine a Boeing carrying bombs like a bomber and a FUCKING BrahMos tipped with a goddamn nuclear warhead for shits and giggles . That is gonna cause some lethal damage my friend >#>#>#>#"
119,18,1,"yeah, lets go back in history and quote unrelated 'alleged' events to the present scenario"
119,19,2,"Same, if you want to remain stuck on the video, instead of looking at the bigger picture that you got your guy aliveI could google several events where you were the bad guys at a certain turn of history and quote here, but what would be the point? The gesture of releasing him was about peace. Not finding and then stuck onto imperfections in those acts"
119,38,1,"What I did, all those comments, it wasn't for them, I did it for me, I guess. I have been having identity crisis, and events like these only make it clear where I belong. I thought of myself as someone who could acknowledge good or bad, irrespective of their national background, think critically, but I see hatred winning over every single battle and it's pointless to debate when majority in the world just want one over you to win an argument, rather than going for objectivity.This is true for my own countrymen as well, but seeing myself &amp; few others, as people who could take a saner perspective when shit hits the fan here, I thought may be I could find myself among them, but I was so wrong. I don't suppose this would make sense"
119,49,1,"Pakistan is the hypocrite as it made a video of the guy who it saved from mob lynching and was about to hand over, sure. What do you think about the body of Pakistani prisoner who was killed in your prison?"
119,98,2,"Why does the video matter so much when the guy can contradict with that as soon as he is going to cross over? May be some people just need an excuse to hate othersWhat part of not killing the guy you don't understand? If a 'coerced' video of him make Pakistan look ingenuine, then may be it's lost to give peace another chance. May as well go to war, since there will always be people unhappy about the semantics of things being done for peace."
119,99,1,"What were the jail authorities doing when the inmates were stoning our guy? Guess, he didn't get saved like your pilot who was attacked by our mob.I don't expect an investigation into it regarding why this happened, or who overlooked the safety of him as that would only anger your extremists. Despite being called a terrorist nation, sanity still prevailed here. "
119,100,1,"You can't make everyone happy. If it weren't the video, people may have jumped upon why he wasn't sent via air. Or why wasn't he saved earlier. Or why wasn't he fed pizza. It's useless to make such things an excuse when at the end of the day, what matters most, is we returned your guy alive. With all the extremism my country has, I think it was an achievement on our part. It's not a competition, but i expected better than a body in response."
119,120,1,"So are mobs, but guess what? Sanity prevailed and the armed officers, of the same army you criticize for the cuts, saved him from lynching. I wonder what Geneva conventions say about not giving a fuck about the enemy fighter jet pilot, who crossed the border in a bid to target the locals there only to find being torn apart by their hands."
120,35,1,"I am not sure why Pakistan is shittiing bricks, some twitter handles are saying ,we are ready with Missiles. Saw a needy program where they said ""India has modified planes to look like commercial crafty and then attack Pakistan"". Looks like they are sure that we are going to attack them. "
120,124,1," Dude seriously ? Ok let me try explaining, a soldier leaves his loved ones behind and goes  to war to defend his motherland, did his duty without any fear, conducted himself with grace under fire and comes back . What is he if not a hero. At his play I would have said anything to appease my captor's, but he held his grace. For me he is a hero as is any other soldier who is giving his everything for me"
120,97,1,"Dude NO, don't give them fucking ideas! .all please downvote this comment.."
120,119,3,"Mere delay ? It was not that he had taken a loan and he needed to close that before he leaves Pakistan. You had all the time to film him with 17 cuts but not release him ,oh and you wanted him to be released with all pump and show to humiliate him. The way camera was panning of his face by your Camera operator's says it all. We are sorry about Pakistani being killed in jail but then jail's are not filled with rational people.I guess this fact of "" beating by locals"" can be taken from the guy who as per your spokesman "" is in hospital"" , wonder what happened to him also wonder what happened to the 2 jets you shot. Geneva convention or not , you returned him , thanks but don't take a moral high ground of being a country where everyone is a peace loving hippie. You are a Terrorist state and you know it. Jihadi country to be specific.Had he been killed by your Jihadi country men with clips on special Media then (a) International community would have taught you a lesson (b) India would have made you shit bricks . Because in that case no one could have justified a NO WAR tagline."
121,35,1,Some high level banter comments on that thread.